#train, test
0.27000, 0.34124
0.61000, 0.68066
0.76000, 0.71898
0.69000, 0.71898
0.70000, 0.72080
0.72000, 0.71168
0.73000, 0.68248
0.55000, 0.48358
0.50000, 0.44891
0.51000, 0.54745
0.75000, 0.69526
0.71000, 0.73723
0.75000, 0.72263
0.69000, 0.72263
0.65000, 0.72445
0.66000, 0.74453
0.64000, 0.75547
0.65000, 0.67336
0.69000, 0.57664
0.51000, 0.56569
0.70000, 0.61314
0.68000, 0.69343
0.69000, 0.74088
0.85000, 0.74453
0.74000, 0.75182
0.67000, 0.75365
0.75000, 0.75365
0.76000, 0.75365
0.74000, 0.75365
0.73000, 0.75365
0.72000, 0.74635
0.74000, 0.73175
0.76000, 0.73175
0.77000, 0.75000
0.74000, 0.75547
0.77000, 0.76277
0.76000, 0.76642
0.71000, 0.77007
0.70000, 0.77190
0.80000, 0.77737
0.81000, 0.77372
0.76000, 0.77190
0.79000, 0.77190
0.77000, 0.77372
0.80000, 0.77372
0.78000, 0.77372
0.79000, 0.77007
0.75000, 0.76095
0.81000, 0.76825
0.78000, 0.76460
0.81000, 0.76460
0.74000, 0.76277
0.71000, 0.76642
0.72000, 0.76095
0.78000, 0.75912
0.80000, 0.76095
0.80000, 0.75730
0.73000, 0.76095
0.74000, 0.76460
0.78000, 0.76460
0.78000, 0.76460
0.69000, 0.76460
0.75000, 0.76095
0.78000, 0.75730
0.79000, 0.74270
0.80000, 0.74453
0.76000, 0.74088
0.74000, 0.74088
0.79000, 0.75000
0.82000, 0.76095
0.72000, 0.76460
0.78000, 0.76095
0.79000, 0.76460
0.74000, 0.76277
0.74000, 0.76642
0.75000, 0.76642
0.72000, 0.76095
0.80000, 0.76642
0.76000, 0.76277
0.80000, 0.76277
0.72000, 0.76460
0.79000, 0.77555
0.74000, 0.77737
0.76000, 0.78102
0.69000, 0.77920
0.84000, 0.77920
0.82000, 0.77920
0.75000, 0.78102
0.76000, 0.77920
0.77000, 0.78467
0.77000, 0.78467
0.79000, 0.78467
0.81000, 0.77920
0.77000, 0.78285
0.78000, 0.77372
0.73000, 0.77555
0.85000, 0.77555
0.81000, 0.77555
0.74000, 0.77737
0.83000, 0.78285
0.85000, 0.77737
0.77000, 0.76825
0.80000, 0.77190
0.79000, 0.77007
0.70000, 0.76825
0.74000, 0.77190
0.81000, 0.76825
0.78000, 0.77190
0.75000, 0.76825
0.82000, 0.77007
0.78000, 0.76460
0.76000, 0.77555
0.80000, 0.77190
0.74000, 0.77372
0.79000, 0.77007
0.82000, 0.77372
0.78000, 0.77007
0.77000, 0.77007
0.85000, 0.76825
0.72000, 0.76642
0.79000, 0.76277
0.76000, 0.76095
0.81000, 0.76642
0.78000, 0.76642
0.79000, 0.77737
0.80000, 0.77920
0.79000, 0.77555
0.85000, 0.78102
0.81000, 0.78102
0.82000, 0.78467
0.89000, 0.78832
0.73000, 0.79015
0.75000, 0.79015
0.78000, 0.79015
0.81000, 0.78650
0.84000, 0.78467
0.84000, 0.78650
0.72000, 0.78832
0.73000, 0.78832
0.79000, 0.78650
0.77000, 0.78650
0.84000, 0.78832
0.83000, 0.78285
0.81000, 0.78102
0.81000, 0.77737
0.79000, 0.77372
0.74000, 0.77737
0.74000, 0.77737
0.84000, 0.77920
0.92000, 0.78102
0.81000, 0.77920
0.91000, 0.77920
0.90000, 0.77920
0.83000, 0.78102
0.83000, 0.77920
0.82000, 0.77920
0.83000, 0.77920
0.71000, 0.77372
0.78000, 0.77372
0.77000, 0.77372
0.80000, 0.77372
0.78000, 0.78102
0.83000, 0.77555
0.79000, 0.77555
0.76000, 0.77555
0.76000, 0.77555
0.89000, 0.77190
0.82000, 0.77372
0.81000, 0.77190
0.80000, 0.77190
0.75000, 0.77007
0.79000, 0.77372
0.78000, 0.77555
0.82000, 0.78285
0.88000, 0.78285
0.77000, 0.78102
0.79000, 0.77737
0.86000, 0.77372
0.80000, 0.78467
0.84000, 0.78650
0.86000, 0.78285
0.95652, 0.78467
